directedBy,Total_Movies_Released
Dennis Todorovic,1
Dee Rees,3
Jean Rouch,7
Mani Maserrat Agah,2
Kerry Beyer,1
Vivi Friedman,1
"Eduardo Quiroz, Jose Quiroz",1
William Fruet,8
Lise Birk Pedersen,1
Aurélien Gerbault,1
"Jon Lucas, Scott Moore",1
Ryan Richmond,1
Karen McGann,2
Jean-Claude Brisseau,1
Sarah Siegel-Magness,1
André Hunebelle,27
Arne Skouen,1
Marcos Carnevale,6
Michel Mardore,1
Ash Adams,1
Mark Sheppard,1
Spencer Parsons,1
Assi Dayan,3
John Lasseter,9
John G. Avildsen,21
Carl Reiner,16
James Lapine,8
Chris Hegedus,4
Walter Lang,32
Victor Fleming,19
Scott Hicks,9
Murray Lerner,4
Mark Pavia,2
Stuart Burkin,1
Mark Pellington,8
William Malone,6
Rémy Belvaux,1
Adam Collis,2
Bud Yorkin,9
William Sachs,6
Alan Hruska,3
Peter McCarthy,1
Enki Bilal,3
Marco Bellocchio,16
Aisling Walsh,8
Adam Goldberg,1
Martin McDonagh,4
"Andrew Bennison, John Ford",1
Gregory Wilson,2
"Carl Deal, Tia Lessin",1
Frank Miller,1
James Cotten,2
Keven McAlester,2
Jon Wright,3
Souleymane Cissé,1
Kevin Booth,3
Ahmed Ahmed,1
Mohammed Lakhdar-Hamina,1
Edward Finney,1
Richard Harrah,1
Paul L. Stein,5
Mitja Okorn,3
Gregory McQualter,1
Stephen Chbosky,2
"Joey Figueroa, Zak Knutson",3
Silviu Purcarete,1
Makoto Kamiya,2
Christopher Frank,2
Ivan Nagy,6
Zach Clark,4
Bill Siegel,1
Alan Lowery,2
Mac Carter,2
Kurando Mitsutake,2
Noel Tan,1
Paul Leyden,2
"Leon Gast, Ryan Moore",1
James Hayman,3
Patxi Amezcua,1
Paul Goldman,3
Howard Baker,2
Susan Jacobson,2
Roman Polanski,24
Robert Altman,40
Jennifer Chambers Lynch,4
Heywood Gould,3
Matthew Bright,4
"Josef von Sternberg, Nicholas Ray",1
Thomas Carter,7
Jack Fisher,2
Chris Innis,1
Frederik Du Chau,3
Theresa Connelly,1
Kim Henkel,1
"Gus Meins, Charley Rogers",1
Mick Davis,3
Frank Henenlotter,9
Lizzy Borden,1
"Ján Kadár, Elmar Klos",1
Dewey Nicks,1
Walt Becker,5
Mike Nawrocki,5
C.B. Harding,4
Jonathan Wacks,3
Michael Laughlin,3
"Will Finn, John Sanford",1
Gene Nelson,5
"Bud Friedgen, Michael J. Sheridan",1
"Henry Levin, George Pal",1
"Megan Mylan, John Shenk",1
Sang-soo Im,3
Philip G Atwell,1
Marcello Fondato,6
Olivier Megaton,6
Joris Ivens,8
Anna Melikyan,5
Oliver Irving,1
Gerardo Naranjo,4
Martin Perreault,1
Tomasz Zygadlo,1
"Dominic Champagne, Nick Morris",1
Elliott Lester,4
Heikki Kossi,1
Ken Mills,1
Jeremy Gilley,1
"Jill Bauer, Ronna Gradus",1
Whitney Smith,1
Andreas Prochaska,4
Kapil Sharma,1
"Evan Goldberg, Seth Rogen",2
Tony Coleman,1
Tammi Sutton,4
Lauren Montogomery,1
Bryan Goluboff,1
Paul Andresen,1
Ben Kellett,1
"Zoltan Korda, Terence Young",1
Stelvio Massi,23
Scott Foley,1
Brian Mills,1
Shem Bitterman,1
Bryan Ramirez,1
Raja Nawathe,1
Lance Kawas,3
Jeff Preiss,1
Mikko Kuparinen,2
Bill Bennett,7
Peter Spirer,5
Maurice Joyce,1
"Buster Keaton, Clyde Bruckman",1
"Mark Benjamin, Danny Hoch",1
Frédéric Fonteyne,2
Lawrence Bassoff,2
John Stainton,1
Norman J. Warren,6
Reggie Rock Bythewood,3
Billy Ray,3
Lauren Lazin,5
Joseph Pevney,35
Masaaki Yuasa,5
Anders Banke,3
Luiz Fernando Carvalho,1
Mekhi Phifer,1
Jack Bernhard,3
Caroline Suh,2
Robert D. Siegel,2
Giacomo Talamini,1
Natasha Arthy,1
Paul Nicholas,4
Shûji Terayama,2
Paul Tassie,1
Afonso Poyart,3
Toshio Masuda,4
Yûji Moriyama,1
Fede Alvarez,3
Imran Naqvi,1
Mukunda Michael Dewil,1
Ian Hubert,2
Ahmad Abdalla,4
Ari Taub,1
Sami Kettunen,1
Arnaud des Pallières,2
George Nichols Jr.,7
Ferdinando Baldi,27
Robert Stromberg,1
Thomas L. Callaway,2
Brian Herzlinger,12
Chris Brandt,1
Justin Reardon,1
Jacques Deval,1
Hugh Harman,9
John Davies,1
Cyril Coke,1
Brian Henson,4
Christopher Ashley,2
James Mangold,11
Rolf de Heer,11
Campbell Scott,4
Fred Olen Ray,47
Alexander Payne,9
Tony Goldwyn,4
Gavin O'Connor,7
Bill Milling,1
Bob Brooks,1
Henry Winkler,3
Thomas McCarthy,5
Mark Frost,1
Scott Hamilton Kennedy,4
"Malcolm Clarke, Stuart Sender",1
Michael Rubbo,3
Peter Tewksbury,4
John Quinn,2
Yoshifumi Kondo,1
Sean Ellis,6
"Vit Klusak, Filip Remunda",1
Mike Cahill,5
Martyn Friend,2
Andrews Jenkins,1
Pratibha Parmar,1
Fred Durst,3
Jorge Fernando,1
Steve Sekely,6
Jens Jonsson,3
Anno Saul,3
Maria Ripoll,1
"Jing Wong, Corey Yuen",1
Basu Chatterjee,3
Russell Rouse,9
"Åke Lindman, Sakari Kirjavainen",1
"Wayne Orr, Paul Reubens",1
John Lounsbery,1
"Serge Bromberg, Ruxandra Medrea",1
Gilles Paquet-Brenner,5
Göran Olsson,3
"Bobbie Birleffi, Beverly Kopf",1
Maurice Devereaux,3
Chad Feehan,1
Amos Posner,2
Teller,1
Marco Petry,4
Tony Stark,1
"Hervé Mimran, Géraldine Nakache",1
Ivan Frank,1
Sophia Turkiewicz,1
Johanna Hamilton,1
Krsto Papic,2
Jeremiah Birnbaum,1
Dimitar Mitovski,1
Hernán Goldfrid,1
Jérôme Enrico,2
Elise Robertson,1
"Adrià García, Víctor Maldonado",1
Andrew Bowler,2
Ron Moler,1
Terry Gilliam,16
John Dahl,8
Dwight H. Little,13
Lawrence Kasdan,10
Bruce Brown,3
Alan Mehrez,2
Djibril Diop Mambéty,4
Arlene Sanford,5
Jack O'Connell,2
James Edward Grant,1
Wayne Wang,16
Stephen King,1
James D.R. Hickox,4
"Bud Greenspan, Leslie Woodhead",1
"Jackie Chan, Eric Tsang",1
Albert Lewin,4
Val Lik,1
Rob Pritts,1
Paul Glickler,2
Christian Charles,4
William Wiard,3
Jeff Daniels,2
Elliott Hong,2
Stewart Raffill,17
Kirsten Sheridan,3
Seth Holt,5
Morgan Freeman,1
Yong-Kyun Bae,1
Kimiyoshi Yasuda,9
Claudio Fäh,5
Ilya Khrjanovsky,1
Sarah Gavron,4
Eva Stotz,1
"Hunter Hill, Perry Moore",1
Drew Barrymore,1
Boris Barnet,3
Ute Wieland,3
Dean Murphy,5
Philippe Diaz,2
Zola Maseko,1
Cécile Telerman,2
Adek Drabinski,1
James Bai,1
Sean MacGregor,1
George King,7
Pierre Granier-Deferre,21
Donovan Marsh,4
Aimee Lagos,1
Suzan Beraza,1
"Levan Bakhia, Beqa Jguburia",1
Banks Helfrich,1
S.S. Rajamouli,9
Pavel Parkhomenko,1
"Andrew Cohn, Davy Rothbart",1
Ataru Oikawa,3
Louise Archambault,3
Gia Coppola,2
Agnieska Holland,1
Jennifer M. Kroot,2
Miroslav Slaboshpitsky,1
Frederikke Aspöck,1
Kaisa Rastimo,2
Inari Niemi,3
David Gumpel,1
Tito Davison,1
William Eckhardt,1
Bruno VeSota,2
"Albert Hughes, Allen Hughes",5
Richard Attenborough,12
Jonathan Lynn,10
John Walsh,3
Robert Duvall,4
Jack Bender,9
John Bruno,2
Philippe Mora,16
David Kellogg,2
Juzo Itami,11
Nick Doob,2
"Mario Bava, Lamberto Bava",1
Chris Delaporte,1
Nanni Loy,16
"William Arntz, Betsy Chasse, Mark Vicente",1
Sue Corcoran,2
Gavin Hood,6
Susannah Grant,1
Greg Glienna,1
Hyun-seung Lee,1
Ann Hui,12
Yavuz Turgul,3
Hitoshi Matsumoto,4
Daniel Alfredson,10
Shashilal K. Nair,2
Ulrik Imtiaz Rolfsen,2
Yasuharu Hasebe,7
"Elia Kazan, John Ford",1
Stephen Milburn Anderson,2
David Lebrun,1
Ricky Gervais,3
Kornél Mundruczó,7
Jacqueline Audry,3
Gary Walkow,2
Jon Shenk,5
Umesh Shukla,2
"Chuan Chen, Yi-Hsiung Chi",1
"Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, James Gunn, Bob Odenkirk, Brett Ratner, Jonathan van Tulleken",1
Yrjö Tähtelä,1
"Vaclav Dejcmar, Misha Votruba",1
Mila Turajlic,1
Yorgos Tsemberopoulos,1
Michael Ferris Gibson,1
Kees Van Oostrum,2
"Nicolas Charlet, Bruno Lavaine",1
Jack Lee,6
"Aaron Rose, Joshua Leonard",1
Maria Pia Mascaro,1
Shana Betz,2
Christopher R. Watson,1
Lux,1
Doris Dörrie,12
Andrew Scheinman,1
Alan Shapiro,2
"Terry Gilliam, Terry Jones",1
Tobe Hooper,19
Don Taylor,10
William A. Seiter,35
Roman Coppola,3
Eldar Ryazanov,22
Edward James Olmos,4
Lucky McKee,6
Clark Johnson,5
Gilles Mimouni,2
John Gilling,18
Joseph Merhi,8
Ryuhei Kitamura,1
Ondi Timoner,5
Anthony Kimmins,8
William Brent Bell,5
James Gunn,5
John G. Blystone,6
Don E. FauntLeRoy,9
"Jing Wong, Woo-ping Yuen",1
Yung Chang,4
Kiyoshi Sasabe,3
Abdellatif Kechiche,7
Emmanuel Mouret,9
Andrew Chiaramonte,1
Miguel Sapochnik,1
"Robert Altman, Bruce Beresford, Bill Bryden, Jean-Luc Godard, Derek Jarman, Franc Roddam, Nicolas Roeg, Ken Russell, Charles Sturridge, Julien Temple",1
Noribumi Suzuki,2
Sam Liu,17
Julien Nitzberg,2
"Matt Harlock, Paul Thomas",1
Andrej Kosak,1
Jan Fehse,2
Shimit Amin,3
Jacob Krupnick,1
Michael Addis,2
Jean Brismée,1
Tom Donahue,4
Jean-Christophe Dessaint,1
Leonardo Ricagni,1
Duke Mitchell,2
Alexander Veledinsky,1
Gerry Lively,5
Fernando Grostein Andrade,2
Mark Mori,1
"Toshiyuki Hiruma, Takashi",1
Ryan Phillippe,1
Manuel Carballo,2
Tonino Cervi,8
Leonardo Pieraccioni,5
Yim Ho,1
Damian Harris,6
Gregory La Cava,17
Todd Holland,3
María Ripoll,4
Jon Reiss,2
John R. Cherry III,11
Dennie Gordon,4
Kevin Connor,30
Marcus Raboy,26
Richard Whorf,6
Lionel Jeffries,4
James Cox,4
Peter Webber,5
Mani Ratnam,18
"Karen Disher, Guy Moore",1
Mikael Håfström,10
Jim Sonzero,1
Rakesh Omprakash Mehra,2
Sam Jaimes,2
Sujoy Ghosh,4
Hiromasa Yonebayashi,4
Margaret Brown,3
Jacek Blawut,1
Allan King,5
Tyler Lee Allen,1
Trey Stokes,3
Petra Haffter,1
Sally Thompson,1
Kidlat Tahimik,2
"Robert Cibis, Lilian Franck",1
Jhon Shank,1
Jeremy Kagan,13
Laura Archibald,1
Fernando Barreda Luna,1
Robert B. Bean,1
Tim Hamilton,1
Neil Nightingale,1
Elias Koskimies,1
Stephanie Soechtig,3
Christina Voros,1
"Albert Maysles, David Maysles",1
"Norman McLaren, Grant Munro",1
Eleanor Lindo,4
Laurent Bouzereau,10
David Petrarca,2
Harold F. Kress,3
Julian Roffman,2
Giuseppe Andrews,1
Peter M. Cohen,1
Étienne Chatiliez,7
Tom DiCillo,7
Andrew Morahan,4
Gregg Champion,9
Anjelica Huston,3
Costa-Gavras,16
Shekhar Kapur,6
Alain Zaloum,2
Rick Famuyiwa,5
Rick Roessler,1
Nelson Shin,1
Sande Zeig,1
Barry Shils,2
Peter H. Hunt,3
Roy Andersson,11
Laurence Malkin,2
"John Eng, Norton Virgien",1
Brian Clemens,1
"Buster Keaton, Donald Crisp",1
Shirley Sun,1
Geneviève Jolliffe,1
"Robert Frank, Alfred Leslie",1
"Shôji Kawamori, Shinichirô Watanabe",1
Lawrence Blume,2
Ousmane Sembene,9
Dennis Donnelly,1
Cirio H. Santiago,40
William F. Claxton,4
Christopher Smith,7
Hal Sutherland,3
Alfred J. Goulding,4
Michael Traeger,1
"Sean Fine, Andrea Nix",2
Philippe Claudel,3
Steve Zacharias,1
Brian King,1
Lewis D. Collins,6
Jay Lowi,3
Edward Anderson,1
Dennis Iliadis,4
Azazel Jacobs,5
Richard Dale,5
Antonio Campos,4
Alex Rivera,2
"Cetre Pegues, Lewis Powell",1
Evan Richards,1
"Anna Boden, Ryan Fleck",2
Christopher Payne,1
"Burt Balaban, Stuart Rosenberg",1
"Ghislain Cloquet, Chris Marker, Alain Resnais",1
Sonny Chiba,1
"Maya Deren, Cherel Ito, Teiji Ito",1
Mike Barnett,1
Paul Ziller,29
Hattie Dalton,1
Jennifer Arnold,3
David Guy Levy,3
Travis Betz,2
Elina Psikou,2
"Lucien Castaing-Taylor, Verena Paravel",1
Matthew Cooke,2
"Roy Del Ruth, Willy Pogany",1
"Richard Eyre, Rupert Goold, Thea Sharrock",1
Amir Shervan,4
Yi'nan Diao,2
"Charles Eames, Ray Eames",1
"Alfred E. Green, Albert Zugsmith",1
Brett Gaylor,1
Bill Brame,3
Kôhei Oguri,5
Anurag Singh,3
Drew Hall,3
Thomas Ikimi,1
Julie Cypher,1
Joey Figueroa,3
Barry Sonnenfeld,11
Bryan Singer,12
François Girard,6
"Daniel Geller, Dayna Goldfine",3
John Roberts,3
Vincent Ward,4
Evan Dunsky,1
Shôhei Imamura,15
Roy Ward Baker,31
Jamie Thraves,4
Geneviève Robert,1
"Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge",1
Shinichirô Watanabe,1
"Johnnie To, Ka-Fai Wai",5
"Joe Berlinger, Bruce Sinofsky",4
Henri Xhonneux,1
Andy Humphries,1
"Heidi Ewing, Rachel Grady",5
Oren Rudavsky,2
Miles Brandman,1
Guillermo Arriaga,2
Stuart Paton,1
Armand Schaefer,3
Gerald Peary,1
John Maringouin,2
"Matthew Aeberhard, Leander Ward",1
Mona Achache,3
Doru Nastase,1
Lance Daly,5
Benjamin Pollack,1
Karl Geurs,1
Alex Merkin,5
Serge Rodnunsky,6
Cindy Kleine,1
Tonislav Hristov,3
Daniel Auteuil,4
Stephen Elliott,1
Bruce Davison,2
Morgan O'Neill,1
David Naglieri,1
John Stalberg,1
Zale Dalen,2
Fred Louf,1
Peter Lepeniotis,3
"Henry Koster, Henry Hathaway, Jean Negulesco, Howard Hawks, Henry King",1
Marco van Geffen,1
"Phil Victor, George White",1
"Juliano Ribeiro Salgado, Wim Wenders",1
Carmen Marron,2
David Serrano,2
Pavel Klushantsev,3
William Dear,18
Kaige Chen,8
Jim Gillespie,4
Joel B. Marsden,1
John De Bello,4
Jean Renoir,30
Mark Hanlon,1
Alain Resnais,22
Danis Tanovic,3
Charles Haid,7
"Serif Gören, Yilmaz Güney",1
Jay Craven,4
Diego Lerman,4
Nicolas Philibert,3
Olli Saarela,5
"Marc Connelly, William Keighley",1
"Jerry Garcia, Leon Gast",1
Marek Koterski,8
Joon-ho Bong,5
Meiert Avis,2
Roger Hedden,1
"Enzo G. Castellari, Tim Kincaid",1
Edwin S. Porter,11
"Chris Miller, Raman Hui",1
"David Moreau, Xavier Palud",2
David Markey,7
"Calum Grant, Joshua Atesh Litle",1
Charles Robert Carner,5
Peter Avanzino,2
"Clyde Bruckman, W.C. Fields",1
Malcolm Ingram,3
Marcus Dunstan,4
Radu Muntean,5
Jerry LaMothe,1
"John Suits, Gabriel Cowan",1
Chip Mabry,1
Stathis Athanasiou,1
Wilho Ilmari,1
Kôtarô Terauchi,3
Carol Morley,3
Jérôme Le Gris,1
Rick Alverson,5
Alex Segal,4
Victor Vicas,1
"Mark Haggard, Bruce Kimmel",1
Michael Tuchner,14
Ektoras Lygizos,1
Joe Piscatella,2
Jason Osder,1
Ben Falcone,4
Rob Meyer,2
Frank Paur,1
Jesse Quinones,2
"René Cardona, Albert Lewin",1
Charles F. Haas,6
Nunzio Malasomma,2
"Josef von Báky, Jürgen Roland, Ottokar Runze",1
Oley Sassone,3
Thomas Schlamme,7
Sidney Lumet,46
Franco Brusati,7
Annette Haywood-Carter,3
Mel Stuart,7
Daniel Taplitz,4
Bob Gosse,3
John D. Hancock,7
Paul Quinn,1
Victor Mignatti,1
Rob Minkoff,7
Winston Hibler,1
Kevin Bray,4
Pier Paolo Pasolini,18
Çetin Inanç,2
Peter Sollett,3
Kai S. Pieck,1
Don Mancini,3
Holly Dale,3
Darryl Fong,1
Ten Shimoyama,4
LeVar Burton,3
Mohammad Rasoulof,6
"Fred Barzyk, David R. Loxton",1
Allen Baron,2
Leszek Dawid,3
Jan Batory,2
David M. Rosenthal,7
Ian Poitier,1
"Ray Ashley, Morris Engel, Ruth Orkin",1
Suzie Templeton,1
Jon Harris,1
Joann Sfar,2
Allen Wolf,1
Santiago Grasso,1
Alan C. Blomquist,1
Wesley Emerson,1
Dong-hun Choi,3
Carles Torrens,2
Bill Marchant,1
Yen-Ping Chu,1
Debbie Lum,1
David Leaf,1
"Ovidio G. Assonitis, Robert Barrett",1
Alexandra Lescaze,1
Alexander Freeman,1
Jillian Schlesinger,1
David F. Sandberg,3
Terracino,1
Harry Watt,3
James Bryan,4
Sidney Miller,2
Frank Sinatra,1
Lewis R. Foster,11
Joe Johnston,9
Paul W.S. Anderson,12
Férid Boughedir,3
"Andy Wachowski, Larry Wachowski",5
Joe Berlinger,10
Craig Rosenberg,2
Robert Townsend,10
Nana Dzhordzhadze,3
Vincent McEveety,15
Koji Hashimoto,2
Richard Spence,4
László Benedek,11
"Martin Davidson, Stephen Verona",1
Jon Shear,1
Amos Kollek,5
"Gary Trousdale, Kirk Wise",1
Ben Stassen,9
Nancy Walker,1
Ray Lawrence,3
Mark Medoff,2
Carl Theodor Dreyer,15
Bruno Bozzetto,4
Paul Lazarus,2
"Darrell Rooney, Rob LaDuca",1
Michael Schorr,1
John Paragon,3
Dave McKean,2
Craig Lucas,2
Don Medford,3
Robin Schiff,1
Yen-ping Chu,2
Paul Mayeda Berges,1
"William Heins, Strathford Hamilton",1
Jeff Nichols,5
Pekka Lehto,6
"Ricky Gervais, Matthew Robinson",1
Jack Chambers,1
Jonas Pate,3
Yôhei Fukuda,1
Christine Edzard,3
Larry Semon,1
Troy Nixey,1
Vic Morrow,2
Jason Rosette,1
Frederick Baker,1
Andrew Goth,4
"Jackie Chan, Kenneth Tsang",1
Sakari Rimminen,1
Carlos César Arbeláez,1
"Don Argott, Demian Fenton",1
"Jen Soska, Sylvia Soska",2
Mats Stenberg,1
J.C. Khoury,2
Thomas McGuane,1
Ron Morales,1
"Koreyoshi Akasaka, Teruo Ishii, Akira Mitsuwa",2
David Howard,7
Pavel Arsyonov,2
Jonathan Holiff,1
Matty Beckerman,2
Linda Yellen,7
Sam Esmail,1
Eun-jin Pang,1
Beom-gu Cho,2
"Gregory Ratoff, Orson Welles",1
Gregory Widen,1
Stephen Sommers,9
Mike Leigh,23
Elia Kazan,18
Mark Dindal,3
Finn Taylor,4
John Carl Buechler,6
Carl Schultz,5
Kristine Peterson,4
John Mackenzie,12
Steven Shainberg,4
Jeff Tremaine,9
John A. Alonzo,3
John Farrow,31
Graeme Rattigan,1
Peter Glenville,6
Ross McElwee,8
"Kazuya Konaka, Corey Yuen",1
Nicole Kassell,2
Marilyn Agrelo,2
Lawrence Jordan,2
Toyoo Ashida,1
"Paul Crowder, Murray Lerner, Parris Patton",1
Cherien Dabis,2
"Tomm Moore, Nora Twomey",1
"Israel Cárdenas, Laura Amelia Guzmán",2
Hank Whetstone,1
Zachary Levy,1
Pere Portabella,5
John Hay,3
Kevin Tostado,1
Hasko Baumann,1
Fumihiko Sori,5
Chuan Chen,1
"Kôji Masunari, Masaaki Yuasa",1
Xiao Lu Xue,3
Guerdon Trueblood,1
Gracia Querejeta,5
"Simon Barrett, Jason Eisener, Gareth Evans, Gregg Hale, Eduardo Sánchez, Adam Wingard,",1
Jason Scott Sadofsky,3
Toomas Hussar,1
Michael Mazo,2
Michael A. Simpson,6
Bobby Boermans,3
Martin Persson,1
Dag Johan Haugerud,3
"Damon Beesley, Iain Morris",1
Michael Evans,1
Chandler Tuttle,1
Israel Horowitz,1
"Friz Freleng, Chuck Jones, Robert McKimson",1
Stéphane Laporte,1
"Jean-Luc Godard,Jean-Pierre Gorin,Groupe Dziga Vertov,Anne-Marie Miéville",1
Derwin Abrahams,2
Sergio Grieco,20
Alfonso Gomez-Rejon,3
Jeff Fisher,2
Kunio Watanabe,1
Charles S. Dutton,3
"Lev Anderson, Chris Metzler",1
Tim Reid,2
Carlo Carlei,5
Manuel Gómez Pereira,5
Abraham Polonsky,3
Mark Sandrich,14
J. Lee Thompson,44
John Nicolella,4
Piers Haggard,5
Virgil W. Vogel,4
Damon Santostefano,6
Jim Goddard,4
"Henry King, Otto Lang",1
David Seltzer,4
"Michael Powell, Emeric Pressburger",12
David Wain,6
Dylan Kidd,3
Ruggero Deodato,23
Steve Anderson,5
Bruce Bilson,5
Saul Bass,6
Alain Berbérian,4
"Ash Brannon, Chris Buck",1
Marco Schnabel,1
Ned Farr,3
Guy Moshe,3
Sophie Barthes,2
Kevin Tancharoen,3
Brett Simon,2
Basil Wright,1
T.J. Martin,2
"Stuart Heisler, Mark Sandrich",1
"Lyman Dayton, Sam Pillsbury",1
"Mark Henderson, Kate Home",1
Rithy Panh,7
Mika Ronkainen,2
Maria Blom,3
Michael Mohan,2
Dusan Hanák,2
Markku Tuurna,1
Nicolas Lopez,1
Zheng Xu,1
Francis Delia,2
Bruno Podalydès,6
Shintarô Katsu,2
Timo Rose,1
Jai-hong Juhn,1
"Chris Renaud, Mike Thurmeier",1
Colette Burson,2
Armyan Bernstein,2
"Thomas Kercmar, Jochen Taubert",1
Ray Cameron,1
David O. Russell,10
Stephen Gyllenhaal,14
Peter Medak,19
Alexandre Rockwell,5
James Whale,12
Hendel Butoy,1
Ulrike Koch,1
Bryan Forbes,13
Olivier Assayas,15
"William Beaudine, Tom McNamara",1
Radley Metzger,7
Mikhail Kalatozov,6
H. Bruce Humberstone,34
Kon Ichikawa,13
Marlon Brando,1
Bob Dahlin,1
Derek Burbidge,1
"Ted Demme, Richard LaGravenese",1
"Kim Longinotto, Ziba Mir-Hosseini",1
Simon Nuchtern,2
Jeffrey Lau,11
Dan Harris,2
Gilles Marchand,2
"Kathryn Bigelow, Monty Montgomery",1
"Rainer Werner Fassbinder, Michael Fengler",1
Sarah Polley,3
Ron Nyswaner,2
Rasmus A. Sivertsen,6
Krisztina Goda,2
Jeff King,3
R. Balki,4
Jake Goldberger,3
Dan Merchant,1
Lee Fanning,1
Sakichi Satô,1
"Robert Z. Leonard, W.S. Van Dyke",1
Gerald Mayer,4
Ossie Davis,5
Michael Hofmann,2
"Michael Curtiz, Darryl F. Zanuck",1
Michael Goi,2
Leste Chen,5
David Noel Bourke,1
Jacques Fieschi,1
Terence Ryan,1
Joe Anderson,1
Jeffrey Lau,1
"Isaac Julien, Bernard Rose",1
Sam Jaeger,1
Justin Dix,2
Lew Lehman,1
Prakash Rao,1
Juan Carlos Medina,2
Bimal Roy,3
Jim McCullough Sr.,2
Stuart Gilmore,3
Luigi Batzella,12
Julien Abraham,2
Claude Whatham,4
Ethan Spaulding,7
Danny Mooney,1
Philippe Caland,1
Yves Allégret,7
"Archie Mayo, Michael Curtiz, Robert Florey",1
Andrew Green,1
Gregg Barson,1
Katie Aselton,1
Andrei Gruzsniczki,1
Jose Pozo,2
Christian Duguay,20
Ken Kwapis,12
Ben Stiller,6
Joe Chappelle,8
Michael Blakemore,2
Busby Berkeley,16
Peter Greenaway,20
Malcolm D. Lee,10
Jay Levey,2
"Tom Hunsinger, Neil Hunter",1
Paul Wendkos,23
Martin Clunes,1
Masahiro Shinoda,13
Aram Avakian,3
Don Argott,8
Alan Wade,2
Makoto Shinkai,11
Dito Montiel,7
Robert Glinski,2
Yves Boisset,19
Alan Spencer,1
Hiroshi Nishitani,3
Hank Braxtan,5
Helmut Käutner,9
David de Vos,1
Michel Deville,10
Elijah Drenner,2
"Kevin Macdonald, Natalia Andreadis,",1
Nathan Morlando,2
Peter Fleischmann,1
Yoshihiro Ishikawa,2
Andrew Drazek,2
Maris Martinsons,1
Eric Laneuville,2
J. Michael McClary,2
Francis Schaeffer,4
"Terry Funk, Jeremy Borash",1
Jay Gammill,1
David Giler,1
Yvonne Mackay,1
Christian Larson,1
Jérôme Bonnell,4
"Shannon Hartman, Michelle Caputo",1
John Kaye,1
"Mark A.Z. Dippé, Eondeok Han",1
Akseli Tuomivaara,1
"John Wilson, David Detiege",1
Ralph Wilcox,1
Filip Tegstedt,1
Roger Gual,3
Ryan Miningham,1
Atom Egoyan,16
James Melkonian,2
Lance Young,1
Kevin Reynolds,9
Michael Cimino,7
Beth Gage,1
Dion Giarusso,1
Rodney Amateau,1
Erle C. Kenton,11
"Walter Hill, Francis Ford Coppola, Jack Sholder",1
Yahoo Serious,3
John Flynn,13
"Richard Glatzer, Wash Westmoreland",4
David Atkins,1
Christophe Gans,5
Michael Haneke,13
Nils Tavernier,3
Juliusz Machulski,14
Stephen Chiodo,2
Travis Wilkerson,2
Julian Richards,4
Päivi Hartzell,1
David Duchovny,1
Henry Cornelius,3
Jake West,5
Wil Shriner,1
Jukka-Pekka Siili,5
Bill Guttentag,3
Tim Disney,2
"Marina Abramovic, Matthew Barney, Marco Brambilla, Larry Clark, Gaspar Noé, Richard Prince, Sam Taylor-Wood",1
Marzieh Makhmalbaf,1
Alberto Rodríguez,8
Zhao Tianyu,3
Peyton Wilson,1
George Sherman,29
Michael Neel,1
Mark Young,6
Pauli Virtanen,1
Sylvie Testud,1
Sebastian Dehnhardt,3
Jake Schreier,2
Matthias Hoene,2
Jeremy Power Regimbal,1
"Lois Weber, Phillips Smalley",1
David Bailey,1
Megan Griffiths,6
Heung-sun Jeong,1
Carter Mays,1
Yoshikazu Yasuhiko,6
"Vassiliki Khonsari, Sevan Matossian",1
Juan López Moctezuma,4
Henri Safran,2
Robert Child,1
Fabien Garcia,1
George Bessudo,2
Sang-ho Yeon,1
Luigi Zampa,27
Michael Valverde,2
David Gould,1
Robert Stevens,2
Robert Rodriguez,17
Fred Schepisi,16
Vadim Jean,9
Cyril Collard,1
Andy Wilson,7
Antoine Fuqua,15
"Jerome Robbins, Robert Wise",1
Tommy Lee Wallace,6
John Lafia,6
Pat Proft,1
Wolf Rilla,5
Mervyn LeRoy,54
Benoît Mariage,2
Allan A. Goldstein,12
René Clair,15
Timothy Linh Bui,3
Vanessa Middleton,1
William Tannen,6
Michael Palin,1
Danny Huston,4
"Michael Spierig, Peter Spierig",3
Jan Egleson,2
"Clarence Brown, Maurice Tourneur",1
Jean Epstein,4
"Arnold Glassman, Todd McCarthy",1
Karan Johar,8
Shunya Ito,3
Elliot Greenebaum,1
Mary McGuckian,6
Jae-yeon Yun,2
Mike Marvin,2
Boris Ingster,3
Michael Sarne,2
Corneliu Porumboiu,6
Tony Gilroy,3
"Peter Madsen, Jeffrey James Varab",1
Christophe Honoré,13
Harris Goldberg,2
Tom Shankland,4
"Scott Galloway, Brent Pierson",1
Fernando Di Leo,19
Stephen Bradley,2
See-Yuen Ng,1
Isidro Ortiz,1
Dan Zeff,2
Benny Boom,3
Harold French,7
José Quintero,1
Vin Diesel,3
Jôji Iida,1
Timothy Bond,11
Simo Halinen,3
The Vicious Brothers,1
Jeremy Gosch,1
Brian A Miller,6
Dexter Fletcher,4
Atiq Rahimi,3
Arvin Brown,3
